#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
pampered   /ˈpæmpərd/          v.饮食过多；纵容（pamper的过去分词形式）adj.饮食过量的；饮食奢侈的原型:pampered 是 pamper 的过去式和过去分词饮食过量的 43%，饮食奢侈的 29%，娇惯的 17%，动词pamper的过去式和过去分词. 11%	pampered  /ˈpæmpərd/       v.饮食过多；纵容（pamper的过去分词形式）adj.饮食过量的；饮食奢侈的原型:pampered 是 pamper 的过去式和过去分词饮食过量的 43%，饮食奢侈的 29%，娇惯的 17%，动词pamper的过去式和过去分词. 11%                                pampered
cow   /kaʊ/          n.奶牛，母牛；母兽vt.威胁，恐吓时态:cowed, cowing, cows母牛 83%，恐吓 10%，雌象 3%，雌鲸 3%，雌犀牛 1%词性：名词 97%, 动词 3%	"cow  /kaʊ/       n.奶牛，母牛；母兽vt.威胁，恐吓时态:cowed, cowing, cows母牛 83%，恐吓 10%，雌象 3%，雌鲸 3%，雌犀牛 1%词性：名词 97%, 动词 3%           We use our cows for meat and milk.我们需要母牛来提供肉和奶。      来自 gwous, 低声嚎叫, 拟声词, 词源同 bovine.n.母牛vt.威胁,威吓The cowardly cow vows not to tow vowels.胆怯的母牛发誓不拖元音字母.【反】embolden（vt.使有胆量）；undaunted（adj.勇敢的）－cowed（被吓坏的）   cow 32 67 Mammals II   19. bison  20. pony  21. horse  21a. mane  22. foal  23. donkey  24. lamb  25. sheep  26. deer  27. fawn  28. goat  29. giraffe  30. hog  31. calf  32. cow  33. camel  33a. hump  35. moose  35a. antler  35b. hoof   nounuk/kaʊ/ us/kaʊ/  cow noun ANIMAL A1 [ C ] a large female farm animal kept to produce meat and milk母牛，奶牛 a dairy cow奶牛 [ C ] a large female adult mammal such as an elephant, a whale, or a seal（象、鲸、海豹等）雌性动物 a cow elephant母象More examplesThe farmer called the vet out to treat a sick cow.We watched the cow suckling her calves.The cows were grazing in the meadow.We visited a dairy farm and saw the cows being milked.A cow goes 'moo' and a dog goes 'bow-wow'.  cow noun WOMAN  [ C ] UK offensive an unkind or unpleasant woman蠢婆娘；泼妇 You stupid cow!你这个蠢婆娘！  cow noun UNPLEASANT THING  [ S ] Australian English informal something difficult or unpleasant难办的事；讨厌的事情 It's been a cow of a day.真是令人难受的一天。Idiom(s)have a cowtill/until the cows come home verb [ T usually passive ]uk/kaʊ/ us/kaʊ/   to frighten someone into doing something, using threats or violence（以威胁或暴力）使害怕，吓唬，恐吓 The protesters refused to be cowed into submission by the army.抗议者拒绝向军队低头。     buffalo, cow, bull, ox  这组词都有“牛”的意思，其区别是：  buffalo: 指水牛，在美国指野牛。  cow: 指任何品种的成年母牛或乳用的乳牛。  bull: 指未经阉割，通常用于配种的公牛，也指西班牙或美洲经专门饲料用作斗牛表演的公牛。引申指彪形大汉。  ox: 泛指野生或驯养的牛类，系动物学的用词，通称，也指公牛。      If it lives on a farm, makes a mooing sound, and produces milk, it is probably a cow.Most people would immediately identify a cow, the large, cud-chewing female of what is known as ""cattle."" Cows are typically domesticated farm animals, though the females of wilder bovine relatives are also called cows. The verb form of cow, ""to frighten or subdue,"" comes from the docile nature of most cows — they are fairly easy to intimidate, or easily cowed. The Old English root is cu, from the Indo-European gwous, which might have developed from the sound that cows make.cow: cowed, cowing, cows/cows: cowses    cow"
cream   /kriːm/          n.奶油，乳脂；精华；面霜；乳酪时态:creamed, creaming, creams奶油 77%，面霜 11%，乳酪 5%，精华 5%，米色 1%，使成糊状 1%词性：名词 96%, 形容词 2%, 动词 2%	"cream  /kriːm/       n.奶油，乳脂；精华；面霜；乳酪时态:creamed, creaming, creams奶油 77%，面霜 11%，乳酪 5%，精华 5%，米色 1%，使成糊状 1%词性：名词 96%, 形容词 2%, 动词 2%           She pours cream into her coffee.她把乳脂倒进咖啡里。      来自拉丁词 chrisma(油膏, 词源同 Chrism)和 cramum(奶油)的合成词.n.乳脂,(鲜)奶油;奶油色""Ice-cream!"" he screamed in dream.""冰淇淋!""他在梦中惊叫道.      nounuk/kriːm/ us/kriːm/  A2 [ U ] the thick, yellowish-white liquid that forms on the top of milk奶油，乳脂 strawberries and cream加奶油的草莓 Do you like cream in your coffee?你的咖啡要加奶油吗？UK a cream cake (= cake with cream in it)奶油蛋糕A2 [ U ] the colour of cream奶油色，淡黄色，米黄色B1 [ C or U ] a soft substance that you rub into your skin护肤霜 face/hand cream面霜／护手霜 moisturizing cream润肤霜 Put some sun cream on to protect your face.抹点防晒霜保护脸部。 [ C ] a type of sweet that is soft inside奶油夹心糖 chocolate/peppermint creams巧克力／薄荷奶油夹心糖 [ U ] a thick liquid used for cleaning things清洁乳液 cream cleaner乳液清洁剂cream of mushroom, tomato, etc. soup soup that has been made into a smooth thick liquid and usually has cream in it奶油蘑菇（西红柿等）汤More examplesI had this fabulous dessert with alternate layers of chocolate and cream.These cakes are filled with fresh cream.Serve the tarts hot with custard or whipped cream.Would you like peaches and cream for dessert?The pasta was served in a cream sauce spiked with black pepper. Idiom(s)the cream of sth adjectiveuk/kriːm/ us/kriːm/  A2 having a yellowish-white colour奶油色的，淡黄色的，米黄色的 a cream shirt淡黄色的衬衫More examplesDo you think the cream dress and the blue jacket go together?Huw wants dark red walls, but I'd rather a more neutral colour like cream.She looked beautiful in a cream satin dress.The woodwork has all been painted a sort of off-white or cream colour.I'd just choose a cream bedcover which would bring out the colour of the cushions and curtains.  verb [ T ]uk/kriːm/ us/kriːm/   to make food into a smooth, thick liquid把…搅成糊状 Cream the butter and sugar together.将奶油和糖混合起来搅成糊状。Phrasal verb(s)cream sth/sb off      Cream is the part of milk that's especially rich, creamy, and fatty. Many people like to add cream to their coffee.Heavy cream can be whipped until it's thick, and light cream might be added to a soup or sauce to add richness. Another kind of cream is a thick lotion, like a skin cream or a night cream. When you cream ingredients together, you mix them until they're fluffy. Calling someone ""the cream of the crop,"" means they're the very best at what they do, and when you cream someone in a game of tennis, you win easily.cream: cream-colored, creamed, creamer, creamery, creaming, creams, creamy/creamer: creamers/creamery: creameries/creamy: creamier, creamiest, creamily, creaminess, creamy-colored    cream"
circuitous   /sərˈkjuːɪtəs/          adj.迂曲的；绕行的；迂回线路的迂回的 72%，绕行的 28%	"circuitous  /sərˈkjuːɪtəs/       adj.迂曲的；绕行的；迂回线路的迂回的 72%，绕行的 28%           The only way through the maze is a rather circuitous one.穿过迷宫的唯一方法是一个相当迂回的方法。      →记1: circuitous→circuit(n. 环行)+ous→迂回的 circuit→circu(=circle 圆圈)+it(=to go 走)→沿着圆圈走→环行 →参考: circuity(n. 迂回, 绕行) 迂回的,绕圈子的(circuit+ous)[circ,cycl=ring,circle,表示""圆,环""] 迂回的(circuit迂回,循环)[-ous表形容词,通常放在一个完整的单词后,表示""…的""]【例】take a circuitous route  绕远儿 【根】circuit绕圈，ous多－绕圈多的－迂回的 【参】circus（n.马戏团）；circuit（n.电路，周游，巡回）circulate（v.使流通；使运行；使循环；使传播）circulation（n.循环，流通，发行额） 【类】digressive:statement＝circuitous:route离题的是偏离陈述主题＝绕行的是偏离路线immaterial:relevance＝circuitous:directness不相关的不相关＝迂回的不直接      adjectiveuk/sɜːˈkjuː.ɪ.təs/ us/sɝːˈkjuː.ə.t̬əs/ formal  not straight or direct迂回的，绕行的 a circuitous route/path迂回路线 a circuitous (= long and indirect) explanation转弯抹角的解释       Circuitous means indirect or roundabout. If you're already late for school, you'll want to take the straightest, fastest way there, not a circuitous one!Circuitous comes from the Latin word circuitus meaning ""a going around."" If you're being circuitous it's like you're going around and around in circles. It can also refer to someone's manner or speech, if they are not being direct. For example, if you want someone to get you another piece of cake, but just you sit there looking longingly at your empty plate and talking about how delicious cake is, then you're being circuitous. And annoying.circuitous: circuitously   circuitous"
contrite   /kənˈtraɪt/          adj.悔悟了的；后悔的；悔罪的后悔的 42%，悔悟了的 35%，痛悔的 23%	"contrite  /kənˈtraɪt/       adj.悔悟了的；后悔的；悔罪的后悔的 42%，悔悟了的 35%，痛悔的 23%           She refused to forgive him no matter how contrite he seemed.无论他看起来多么忏悔，她都拒绝原谅他。      →记1: contrite→con+trite(=to grind 磨, 折磨)→内心受折磨的→痛悔的 →参考: contrition(n. 悔罪, 后悔) con-, 强调. -trit, 转, 磨, 词源同 turn, detergent. 此处用于比喻义, 指磨心的, 内心不安的.悔恨的(con共同+trite→身心全部磨擦→悔恨交加的)[trit=rud,表示""磨擦""]【记】con共同，trite摩擦－做错事后心灵受到摩擦－后悔的 【参】attrition（n.磨擦）；triturate（vt.弄成粉）；contrition（n.悔悟；后悔） 【类】apologize:contrite＝compliment:impressed道歉因为后悔的＝称赞因为被打动的penitent:contrition   悔过的:后悔 【反】impenitent（adj.不悔悟的；顽固的）      adjectiveuk/kənˈtraɪt/ us/ˈkɑːn.traɪt/ formal  feeling very sorry and guilty for something bad that you have done悔罪的；悔恨的 a contrite apology/expression悔恨的道歉／表情       We are sorry to inform you that the adjective contrite means regretful, remorseful, or even guilty.Someone who feels remorse or guilt is contrite and in addition to feeling sorry, part of the definition includes wanting to atone for having done something wrong. The word comes from the Latin roots com- meaning ""together"" and terere which means ""to rub."" It's also related to the Latin word conterere and is defined as ""to bruise."" In the field of theology being contrite is ""being remorseful for past sin and resolved to avoid future sin.""contrite: contritely, contriteness   contrite"
coleslaw   /ˈkoʊlslɔː/          n.凉拌卷心菜（等于coldslaw）凉拌卷心菜 100%	"coleslaw  /ˈkoʊlslɔː/       n.凉拌卷心菜（等于coldslaw）凉拌卷心菜 100%           I had some leftover cabbage, so I decided to make coleslaw.我有一些剩余的卷心菜，所以我决定做凉拌菜。      cole, 白菜, 词源同 cauliflower, kale. -slaw, 沙拉, 词源同 salt, salad.      noun [ U ]uk/ˈkəʊl.slɔː/ us/ˈkoʊl.slɑː/   cold, uncooked cabbage, carrot, and onion, cut into long, thin strips and covered in a thick, cold sauce（用生圆白菜、胡萝卜和洋葱拌制的）凉拌菜丝       Coleslaw is a salad or side dish made of shredded cabbage and sometimes other shredded vegetables. Coleslaw is often served on the side with fried fish, barbecued meat, or a sandwich.Most coleslaw is made creamy with the addition of mayonnaise, or dressed with oil and vinegar. You can add shredded carrots, onions, peppers, red cabbage, or other vegetables to coleslaw, and season it with various herbs and spices. Coleslaw is an American English word from the 18th century, based on the Dutch koolsla, combining kool, ""cabbage,"" and sla, ""salad.""coleslaw    coleslaw"
origami   /ˌɔːrɪˈɡɑːmi/          n.折纸手工；折纸手工品名词 100%	"origami  /ˌɔːrɪˈɡɑːmi/       n.折纸手工；折纸手工品名词 100%                 来自日语, ori, 折, kami, 纸.      noun [ U ]uk/ˌɒr.ɪˈɡɑː.mi/ us/ˌɔːr.ɪˈɡɑː.mi/   the art of making objects for decoration by folding sheets of paper into shapes折纸艺术 Origami comes from Japan, where it is still widely practised.折纸艺术源于日本，在那里现在仍然有很多人从事这一行当。       Have you ever folded a square sheet of paper into the shape of a crane? That's origami, the Japanese art of paper folding.Some origami is incredibly complicated and takes a long time to learn, while even small children can easily create simpler origami designs. Every piece of finished origami, whether it's a dog or an umbrella or a box, begins with a sheet of paper and specific folding techniques. Origami comes from two Japanese words, ori, ""fold,"" and kami, ""paper.""origami    origami"
rule-making             [网络]制定规则；规则的制定；规则制定	rule-making         [网络]制定规则；规则的制定；规则制定                                rule-making
nauseate   /ˈnɔːzieɪt/          vi.作呕；厌恶；产生恶感vt.使厌恶；使恶心；使作呕时态:nauseated, nauseating, nauseates厌恶 42%，作呕 35%，产生恶感 23%	"nauseate  /ˈnɔːzieɪt/       vi.作呕；厌恶；产生恶感vt.使厌恶；使恶心；使作呕时态:nauseated, nauseating, nauseates厌恶 42%，作呕 35%，产生恶感 23%           That seafood really nauseated me - it must have been bad. Now I have to throw up...这种海鲜真的让我感到恶心--它一定很糟糕。现在我必须要吐了...      来自 nausea, 恶心.使作呕(nausea+ate)[nav,naus,naut=ship表示""船"",naut引申为""海员""]【记】源于：nausia，naus＝naut船，ia一船上的病一晕船一恶心读：闹死ate吃，吃饭的时候闹死了－作呕读：闹sea ate，在海上吃饭的时候闹－恶心 【类】vertigo:nauseate＝?   眩晕:恶心＝?      verb [ T often passive ]uk/ˈnɔː.zi.eɪt/ us/ˈnɑː.zi.eɪt/ formal  to cause someone to feel as if they are going to vomit使恶心，使作呕 He's nauseated by the smell of meat cooking.他闻到烹饪肉食的味道就恶心。 The smell of the fish nauseated her.鱼的气味让她恶心。       To nauseate one’s friends is to make them disgusted, sick to their stomachs, or ill.  Generally this is best achieved by serving foul food or sharing someone’s deepest secrets with a sworn enemy.The first seafaring cultures were most likely Polynesian, but the Romans (who spoke Latin) came up with the word for seasickness that stuck: nausea.  When the ocean is too rollicking, it’s likely to nauseate the ship’s passengers.  There’s plenty more examples out there that can nauseate even the most hearty among us.  Often just the thought of some culinary oddities can do the trick: oyster casserole, tripe, or fried crickets — just to name a few.nauseate: nauseated, nauseates, nauseating/nausea: nauseate, nauseous/nauseating: nauseatingly, nauseatingness/nauseous: nauseously    nauseate"
conjoin   /kənˈdʒɔɪn/          vi.结合；连结vt.使结合；使联合时态:conjoined, conjoining, conjoins结合 48%，联合 37%，连结 15%	conjoin  /kənˈdʒɔɪn/       vi.结合；连结vt.使结合；使联合时态:conjoined, conjoining, conjoins结合 48%，联合 37%，连结 15%                 con-, 强调. -join, 连接.【记】join（n.结合；参加）      verb [ I or T ]/kənˈdʒɔɪn/   to join with something, or to join things together（使）结合；（使）联合；（使）连接 The units can be conjoined to form grids.这些部件可以组装成格栅。 The renovated buildings will conjoin with a newly designed building to form the university's new Visual Arts Centre.这些修复的建筑将与一座新设计的大楼相连，组成大学新的视觉艺术中心。          conjoin
rechargeable   /ˌriːˈtʃɑːrdʒəbl/          adj.可再充电的；收费的可再充电的 100%	rechargeable  /ˌriːˈtʃɑːrdʒəbl/       adj.可再充电的；收费的可再充电的 100%                       adjectiveuk/riːˈtʃɑː.dʒə.bəl/ us/riːˈtʃɑːr.dʒə.bəl/   able to be recharged可充电的 a rechargeable battery充电电池          rechargeable
snore   /snɔːr/          n.鼾声vt.打鼾vi.打呼噜；打着鼾声渡过时态:snored, snoring, snores打鼾 44%，鼾声 32%，打呼噜 24%词性：动词 82%, 名词 18%	"snore  /snɔːr/       n.鼾声vt.打鼾vi.打呼噜；打着鼾声渡过时态:snored, snoring, snores打鼾 44%，鼾声 32%，打呼噜 24%词性：动词 82%, 名词 18%           It was impossible to get to sleep because my husband snored.因为我丈夫打鼾，所以无法入睡。      来自辅音丛 sn-, 鼻子, 闻, 嗅, 发鼻音, 比较 sneer, snore, snicker, sniff, snuff. 引申词义打鼾, 打呼噜.      verb [ I ]uk/snɔːr/ us/snɔːr/  B2 to breathe in a very noisy way while you are sleeping打呼噜，打鼾 Sometimes my husband snores so loudly, it keeps me awake at night.有时候我丈夫打鼾太响，弄得我整夜无法入睡。 Do you know any cures for snoring?你知道有什么办法能治打呼噜吗？  noun [ C ]uk/snɔːr/ us/snɔːr/   a very noisy breath while you are sleeping呼噜声，鼾声 I could hear loud snores coming from Jim's bedroom.我能听到从吉姆的卧室传来如雷的鼾声。       If you snore, you breathe loudly through your nose while you're asleep. If your roommate snores, you may need to get yourself some ear plugs so that you can sleep.Most of us snore occasionally when we're congested, but some people snore every time they sleep. This kind of snore can be a serious health problem, since air isn't flowing easily in and out as the snorer breathes. In some cases, snoring is connected to sleep apnea, which means a sleeper actually stops breathing several times throughout the night. Colloquially, a snore is also a dull, boring thing: ""The movie was a total snore.""snore: snored, snorer, snores, snoring/snorer: snorers/snoring: snorings    snore"
woeful   /ˈwoʊfl/          adj.悲哀的；悲惨的；遗憾的；不幸的悲伤的 44%，悲哀的 32%，不幸的 24%	"woeful  /ˈwoʊfl/       adj.悲哀的；悲惨的；遗憾的；不幸的悲伤的 44%，悲哀的 32%，不幸的 24%                       adjectiveuk/ˈwəʊ.fəl/ us/ˈwoʊ.fəl/  woeful adjective BAD  very bad or (of something very bad or unpleasant) very large or extreme极坏的，极糟糕的 The team's woeful record consists of six defeats in seven games.这个队非常糟糕的记录是7场比赛中有6场败北。 They displayed woeful ignorance of the safety rules.他们对安全条例表现出极端的无知。  woeful adjective SAD  formal extremely sad极为悲哀的，极为悲伤的 She was looking very woeful, with her eyes red and swollen.她的眼睛又红又肿，看起来十分悲伤。       Something woeful is full of sadness, like the woeful little boy who can't find the stuffed bunny he needs to fall asleep.Use the adjective woeful for people or things affected by misery or sorrow. A woeful expression on your face shows you're sad, and a woeful performance in the big kickball game means your team did so badly that you feel miserable about it. Woeful comes from woe, ""great sorrow,"" and its source, the Old English interjection wa. This ancient woeful expression is still used in many languages today.woeful: woefuler, woefulest, woefully, woefulness/woe: woeful, woes    woeful"
higher-up   /ˌhaɪər ˈʌp/          n.上级；上司；大人物上级 44%，上司 28%，大人物 28%词性：名词 91%, 形容词 9%	higher-up  /ˌhaɪər ˈʌp/       n.上级；上司；大人物上级 44%，上司 28%，大人物 28%词性：名词 91%, 形容词 9%                       noun [ C ]uk/ˌhaɪ.ərˈʌp/ us/ˌhaɪ.ɚˈʌp/ informal  someone with a more important position than you in an organization（机构中的）高层人物，要员 They're still waiting for a decision about the extra money from the higher-ups.他们还在等待高层人物们就额外的资金作出决定。          higher-up
trundle   /ˈtrʌndl/          n.滚动；小脚轮vt.使滚动；运送vi.滚动；移动时态:trundled, trundling, trundles滚动 40%，运送 13%，转动 13%，滚 10%，小车轮 6%，慢步走 6%，脚轮 6%，旋转 6%词性：动词 87%, 名词 13%	"trundle  /ˈtrʌndl/       n.滚动；小脚轮vt.使滚动；运送vi.滚动；移动时态:trundled, trundling, trundles滚动 40%，运送 13%，转动 13%，滚 10%，小车轮 6%，慢步走 6%，脚轮 6%，旋转 6%词性：动词 87%, 名词 13%                 来自中古英语 trendle, 轮子, 圈, 来自中英语 trendel, 小环, 词源同 trend, 河流转弯处, 趋势. -le, 表反复. 引申词义缓慢而沉重的走.      verbuk/ˈtrʌn.dəl/ us/ˈtrʌn.dəl/   [ I or T,  usually + adv/prep ] (to cause something) to move slowly on wheels（使）慢慢地移动，滚动 She trundled the wheelbarrow down the path.她沿着花园慢慢地推着手推车。 Hundreds of trucks full of fruit and vegetables trundle across the border each day.每天都有成百上千辆满载水果、蔬菜的卡车慢慢驶过边界。 [ I + adv/prep ] informal disapproving to develop or operate slowly缓慢发展；缓慢运行 The negotiations have been trundling on for months and there's still no end in sight.谈判缓慢进行了几个月，到现在还看不到结束的迹象。 Phrasal verb(s)trundle sth out      When you trundle something, you move it or roll it awkwardly. You might have to trundle your broken suitcase down the stairs if you can't find an elevator.When a person trundles, they move slowly and heavily. As a noun, trundle means ""a roller,"" and it usually refers to something on wheels that can be moved around, like a trundle bed, a low bed frame you can slide and store beneath a taller bed. You might roll out the trundle bed when your friend sleeps over, and then try to fall asleep as you listen to your brother trundle around the kitchen looking for a midnight snack.trundle: trundled, trundles, trundling   trundle"
frugality   /fruːˈɡæləti/          n.俭省，节俭节俭 91%，俭省 9%	"frugality  /fruːˈɡæləti/       n.俭省，节俭节俭 91%，俭省 9%           My natural frugality keeps me from spending too much money.我节俭的性格阻止了我花太多的钱。      →记1: frugality→frugal(a. 节俭的)+ity→节俭 →参考: thrift(n. 节俭, 节省)节约(frugal节俭的)[-ality表名词""状态,性质""]【类】obsequious:attentiveness＝parsimonious:frugality献媚的是过分关心＝吝啬的是过分节俭 【反】profligacy（n.放荡；肆意挥霍）；extravagancy（n.挥霍）            If you try to avoid waste by reusing and repurposing items that most people would throw away, your frugality will save you money.Some people use this word interchangeably with cheapness, but cheapness is an unwillingness to spend, while frugality is an unwillingness to waste. People who show frugality often find ways of making things useful that others do not. Even after the Depression ended, those who lived through it maintained their frugality, using old t-shirts for rags and washed-out cottage cheese containers instead of Tupperware.frugality: frugalities/frugal: frugalest, frugality, frugally, frugalness    frugality"
