#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
undisciplined   /ˌʌnˈdɪsəplɪnd/          adj.无训练的；混乱无纪律的无修养的 25%，未受过训练的 25%，难控制的 25%，不遵守纪律的 25%	"undisciplined  /ˌʌnˈdɪsəplɪnd/       adj.无训练的；混乱无纪律的无修养的 25%，未受过训练的 25%，难控制的 25%，不遵守纪律的 25%                             Undisciplined means uncontrolled or disorderly. An undisciplined bunch of dogs is nearly impossible to walk down the sidewalk together: they all want to run in different directions, chase squirrels, and bark wildly.When you take the word disciplined, ""showing control or order,"" and add un-, or ""not,"" to it, you get undisciplined. This is a great way to describe an out-of-control classroom, an athlete whose explosive anger gets her kicked off the field, or someone who can't manage his own money well, spending an entire paycheck all in one place.disciplined: self-disciplined, undisciplined/disciplinarian: disciplinarians/disciplinary: disciplinarily, interdisciplinary/discipline: disciplinarian, disciplinary, disciplined, disciplines, disciplining, indiscipline, self-discipline, undiscipline/indiscipline: indisciplines    undisciplined"
thrifty   /ˈθrɪfti/          adj.节约的；茂盛的；成功的节俭的 90%，兴旺的 5%，茁壮的 5%	"thrifty  /ˈθrɪfti/       adj.节约的；茂盛的；成功的节俭的 90%，兴旺的 5%，茁壮的 5%           She makes a lot of money, but she is actually quite thrifty.她赚很多钱，但却很节省。            adjectiveuk/ˈθrɪf.ti/ us/ˈθrɪf.ti/   showing a careful use of money, especially by avoiding waste节约的，节俭的 They have plenty of money now, but they still tend to be thrifty.他们现在很有钱，但仍很节俭。     economical, thrifty  这组词都有“节约的”的意思，其区别是：  economical: 指正当使用财物，强调节省，避免浪费。  thrifty: 侧重节缩开支，积蓄收入。      Being thrifty means being careful of your money and how you spend it. Think twice before you spend, but if you must shop, hitting the sales and using coupons are good ways to be thrifty.Note the similarity between the adjective thrifty and the verb thrive, and you'll realize that being careful with your money might be an important survival tactic. Everyone worries about having enough — look at how thrift shops have become important sources of clothing and other goods for many people, allowing them to buy without spending a fortune. Being thrifty is a solid virtue, as suggested by the old German proverb, ""Prudent men woo thrifty women.""thrifty: thriftier, thriftiest, thriftily, thriftiness/thrift: thriftless, thrifts, thrifty/thriftiness: thriftinesses/thriftless: thriftlessly, thriftlessness    thrifty"
empiricism   /ɪmˈpɪrɪsɪzəm/          n.经验主义；经验论经验主义 74%，经验论 26%	"empiricism  /ɪmˈpɪrɪsɪzəm/       n.经验主义；经验论经验主义 74%，经验论 26%           Empiricism is the belief that studying the world around us is the best way to find truth.经验主义认为，研究我们周围的世界是寻找真理的最佳途径。      来自 empirical, 经验主义. -ism, 主义, 思想, 观点.经验主义(empiric经验主义者+ism)[per=try,表示""尝试""] 经验主义(empirical经验的)[-ism名词1.表示""主义,宗教""2.表示""学术,流派""3.表示""行为,现象,状态""4.表示""疾病""5.表示""具备某种牲质""]      noun [ U ]uk/ɪmˈpɪr.ɪ.sɪ.zəm/ us/emˈpɪr.ə.sɪ.zəm/   the belief in using empirical methods经验主义，经验论       Empiricism means a method of study relying on empirical evidence, which includes things you've experienced: stuff you can see and touch.Empiricism is based on facts, evidence, and research. Scholars and researchers deal in empiricism. If you believe in the Easter Bunny, the Tooth Fairy, or Santa Claus, you're out of the realm of empiricism — there are no facts to support those myths. If you want to get something practical done, or to really know what the deal is with something, empiricism is the way to go.empiricism: empiricisms, empiricist/empirical: empirically, empiricism, semiempirical/empiricist: empiricists    empiricism"
embarrassingly   /ɪmˈbærəsɪŋli/          adv.使人尴尬地；令人难堪地副词 100%	embarrassingly  /ɪmˈbærəsɪŋli/       adv.使人尴尬地；令人难堪地副词 100%                                embarrassingly
flabbergasted   /ˈflæbərɡæstɪd/          v.使…大吃一惊（flabbergast的过去式）adj.目瞪口呆的；大吃一惊的原型:flabbergasted 是 flabbergast 的过去式使大吃一惊 100%	"flabbergasted  /ˈflæbərɡæstɪd/       v.使…大吃一惊（flabbergast的过去式）adj.目瞪口呆的；大吃一惊的原型:flabbergasted 是 flabbergast 的过去式使大吃一惊 100%                 词源不详. 可能来自 flabby 和 aghast 的合成词.            When you see your mom come back from the salon with bright green spiky hair and your jaw drops to the floor in total shock, you’re flabbergasted. You are really, really shocked — pretty much speechless.Use the adjective flabbergasted to describe someone who's astounded or surprised for any reason, good or bad. You could be flabbergasted at how astonishingly expensive a parking ticket is, or at how incredibly delicious pineapple pizza is. Flabbergasted has been used since the late 18th century, but no one knows for sure where it originated. The word sounds like what it means: when you say it out loud — ""flabbergasted!"" — it somehow captures the spirit of astonishment and shock.flabbergast: flabbergasted, flabbergasting, flabbergasts   flabbergasted"
indigo   /ˈɪndɪɡoʊ/          n.靛蓝，靛蓝染料；靛蓝色；槐蓝属植物adj.靛蓝色的靛青 80%，紫蓝色 20%词性：形容词 58%, 名词 42%	indigo  /ˈɪndɪɡoʊ/       n.靛蓝，靛蓝染料；靛蓝色；槐蓝属植物adj.靛蓝色的靛青 80%，紫蓝色 20%词性：形容词 58%, 名词 42%                 来自希腊语 indikon, 印度进口的蓝色染料, 词源同 India.      noun [ U ]uk/ˈɪn.dɪ.ɡəʊ/ us/ˈɪn.dɪ.ɡoʊ/   a bluish-purple colour靛蓝色  adjective ukus having a bluish-purple colour靛蓝色（的）         indigo
yawning   /jɔːnɪŋ/          n.打呵欠adj.打哈欠的，张着大嘴的v.打哈欠（yawn的ing形式）原型:yawning 是 yawn 的现在分词打呵欠 62%，打哈欠的 28%，裂开的 5%，动词yawn的现在分词形式. 5%	"yawning  /jɔːnɪŋ/       n.打呵欠adj.打哈欠的，张着大嘴的v.打哈欠（yawn的ing形式）原型:yawning 是 yawn 的现在分词打呵欠 62%，打哈欠的 28%，裂开的 5%，动词yawn的现在分词形式. 5%                       adjective [ before noun ]uk/ˈjɔː.nɪŋ/ us/ˈjɑː.nɪŋ/   used to describe a difference or amount that is extremely large and difficult to reduce（差异或数量）巨大的，难以缩减的 There exists nowadays a yawning gap between rich and poor.如今贫富之间存在着巨大的差异。 A yawning space or hole is very wide.（空间或洞孔）豁开的 a yawning crevasse巨大的裂缝       Yawning is what happens when you reflexively opes your mouth wide, inhale, and exhale again. Most yawning is caused by sleepiness or extreme boredom.Use the word yawning for actual yawning — or to mean ""wide open."" A yawning chasm in the ground is a huge, wide gap, and a yawning hole in a movie's plot is the obvious space where some details are missing, making the resulting story seem unlikely and unbelievable. A yawning child, on the other hand, is probably just ready for her nap.yawning: yawningly, yawnings/yawn: yawned, yawner, yawning, yawns/yawner: yawners    yawning"
charmed   /tʃɑːrmd/          adj.着迷的；喜悦的v.迷住；对…行魔法；哄诱（charm的过去分词）原型:charmed 是 charm 的过去式和过去分词动词charm的过去式和过去分词. 34%，被迷住的 33%，被魔法保护的 33%	charmed  /tʃɑːrmd/       adj.着迷的；喜悦的v.迷住；对…行魔法；哄诱（charm的过去分词）原型:charmed 是 charm 的过去式和过去分词动词charm的过去式和过去分词. 34%，被迷住的 33%，被魔法保护的 33%                       adjectiveuk/tʃɑːmd/ us/tʃɑːrmd/  charmed adjective PLEASED  very pleased or attracted by someone's charm万分高兴的，非常着迷的 He said he would be charmed if a woman gave him flowers.他说要是有女人给他送花，他会高兴死的。  charmed adjective LUCKY lead/live a charmed life to be very lucky in life, often escaping dangerous situations without being hurt总是很幸运；总能逢凶化吉          charmed
loyalist   /ˈlɔɪəlɪst/          n.忠诚的人；反对独立者	loyalist  /ˈlɔɪəlɪst/       n.忠诚的人；反对独立者                 来自 loyal, 忠诚的.      noun [ C ]uk/ˈlɔɪ.ə.lɪst/ us/ˈlɔɪ.ə.lɪst/   a person or group that strongly supports the government or ruler in power支持政府者；保皇派 The rebel forces have been repeatedly attacked by loyalist troops.叛军遭到了忠于政府的部队的连番攻击。  noun [ C ]uk/ˈlɔɪ.ə.lɪst/ us/ˈlɔɪ.ə.lɪst/ specialized  in Northern Ireland, a person who believes that Northern Ireland should continue to be part of the UK（认为北爱尔兰应与英国统一的）亲英分子       In politics, a loyalist is someone who stays faithful to a party or government even during times of upheaval and revolt. During America's colonial era, loyalists supported British rule.Today in the U.K., someone who's described as a loyalist is typically a supporter of political union between Northern Ireland and Great Britain. This term is often used during times of upheaval in various countries, to talk about those who remain loyal to an established government. It's been used this way since at least the 17th century — but if your favorite childhood movie gets a terrible remake, feel free to say you're a loyalist to the original version.loyalist: loyalists/disloyal: disloyally/loyal: disloyal, loyaler, loyalest, loyalist, loyally    loyalist
strenuously   /ˈstrenjuəsli/          adv.勤奋地；费力地奋发地 67%，使劲地 33%	"strenuously  /ˈstrenjuəsli/       adv.勤奋地；费力地奋发地 67%，使劲地 33%           Without this saw we would need to work much more strenuously.没有这个电锯的话，我们工作会多费很多力。                  When you do something strenuously, you work really hard at it. After working strenuously on your neighbor's farm all day, you'll be exhausted and ready for a break.The adverb strenuously is good for describing activities or actions that require hard work. You can play strenuously during your high school football team's final game, working up a sweat, or you can argue strenuously during a debate. In either case, what you're doing is seriously demanding. The Latin root is strenuus, which means ""active, vigorous, or keen.""strenuous: strenuosity, strenuously, strenuousness/distrain: distrained, distraining, distrains/overstrain: overstrained, overstraining, overstrains/strain: distrain, overstrain, strained, strainer, straining, strains, strenuous, unstrain/strained: strainedest, strainedly/strainer: strainers/straining: strainingly, strainings/strenuosity: strenuosities/unstrain: unstrained, unstraining/unstrained: unstrainedly    strenuously"
stretching    /stretʃ/           n.伸长；展宽v.拉伸（stretch的ing形式）原型:stretching 是 stretch 的现在分词拉伸 98%，动词stretch的现在分词形式. 2%词性：名词 68%, 形容词 32%	stretching   /stretʃ/        n.伸长；展宽v.拉伸（stretch的ing形式）原型:stretching 是 stretch 的现在分词拉伸 98%，动词stretch的现在分词形式. 2%词性：名词 68%, 形容词 32%                                stretching
savory   /ˈseɪvəri/          n.开胃菜；香薄荷adj.可口的；风味极佳的；味美的香薄荷 45%，美味可口的 16%，香辣的 13%，令人愉快的 13%，体面的 13%词性：形容词 69%, 名词 31%	savory  /ˈseɪvəri/       n.开胃菜；香薄荷adj.可口的；风味极佳的；味美的香薄荷 45%，美味可口的 16%，香辣的 13%，令人愉快的 13%，体面的 13%词性：形容词 69%, 名词 31%           These Indian curries are savory and delicious.这些印度咖喱是咸味和美味。      savor, 味道, 滋味, -y, 形容词后缀. 即有味道的, 美味的, 值得细品的.【记】源于：savor（n.滋味；食欲） 【类】mellifluous:sound＝savory:taste悦耳的声音＝美味的味道  【反】noisome（adj.有害的；有毒的）；acrid（adj.辛辣苦涩的）            Something savory is full of flavor, delicious and tasty — usually something that someone has cooked. In the world of cuisine, savory is also often used to mean the opposite of sweet, or salty.The easiest way to remember savory is that it rhymes with flavory — which is not a real word, but should be. Interestingly, the word unsavory — which is clearly the opposite of savory — is almost never used to describe food. If some a dish doesn't taste good, it, well, isn't good-tasting. If something is unsavory, then it's probably a person or situation that seems morally questionable. So, save savory for delicious food and save unsavory for things, people and ideas deserving of the adjective.savory: savories, savorily, savoriness, unsavory/unsavory: unsavorily, unsavoriness    savory
fifty-seven             num.五十七五十七 100%	fifty-seven         num.五十七五十七 100%                                fifty-seven
debase   /dɪˈbeɪs/          vt.降低；使…贬值；掺杂时态:debased, debasing, debases贬低 88%，降低质量、地位或价值 12%	"debase  /dɪˈbeɪs/       vt.降低；使…贬值；掺杂时态:debased, debasing, debases贬低 88%，降低质量、地位或价值 12%           We debased his picture by throwing tomatoes.我们通过投掷西红柿来贬低他的照片。      de-, 向下. base, 低, 贱, 词源同 base metal. 即使低贱, 败坏名誉.降低[bas,base=low,foundation,表示""低下,基础""]【记】de向下，base低－低下去－贬低  【参】basement（n.地下室）；basis（n.基础） 【类】debase:value＝enervate:vitality＝attenuate:force[intensity]降低价值＝减少活力＝削弱力量simplify:complexity＝debase:status＝lower:height简化复杂＝降低地位＝降下高度 【反】debased（adj.贬低的）－ennobled（adj.使高贵的）deification（n.神化）－debasement（n.贬低）      verb [ T ]uk/dɪˈbeɪs/ us/dɪˈbeɪs/   to reduce the quality or value of something使堕落；贬低 Some argue that money has debased football.有人说金钱腐蚀了足球运动。 Our world view has become debased. We no longer have a sense of the sacred.我们的世界观堕落了，我们不再具有神圣感。debase the coinage/currency to lower the value of a coin by making it from a less valuable metal（通过掺杂非贵重金属）降低硬币的价值       To debase something is to make it corrupt or impure. If your lemonade stand sells “pure lemonade,” you’d insist on using real lemons instead of a mix; using a mix would debase your product.Debase is often used in the context of two things: coins and people. To debase a coin is to replace some of the precious metal in the coin with metal of lesser value. To debase a person is to corrupt them, often by driving them to perform an immoral act like (gasp!) using the lemonade mix. Just promise us you won’t do it.debase: debased, debasement, debaser, debases, debasing/debasement: debasements/debaser: debasers/debasing: debasingly    debase"
pontiff   /ˈpɑːntɪf/          n.主教，教皇；罗马教宗主教 67%，罗马教宗 20%，祭司长 13%	"pontiff  /ˈpɑːntɪf/       n.主教，教皇；罗马教宗主教 67%，罗马教宗 20%，祭司长 13%                 来自拉丁语 pontifex, 主祭司, 教皇, 来自 pons, 桥, -fex, 做, 制造, 词源同 do, fact. 即修桥的人, 引申词义连接凡人和神的人, 后用做教皇尊称.      noun [ C ]uk/ˈpɒn.tɪf/ us/ˈpɑːn.t̬ɪf/   formal for pope (= leader of the Roman Catholic Church)教皇（pope的正式说法）       In Catholicism, the pontiff is the Pope, the head of the Roman Catholic church. When the pontiff visits a city, thousands of people come out to watch his motorcade go by.In ancient Rome, a pontiff was one of many high-ranking religious authorities — in fact, there was a whole group of them, known collectively as the College of Pontiffs. Today, it's strictly accurate to call any Catholic bishop a pontiff, but the vast majority of Catholics reserve the word for the Bishop of Rome, otherwise known as the Pope. The word means ""high priest,"" from a root meaning ""bridge-maker.""pontiff: pontiffs, pontifical/pontifical: pontifically, pontificals    pontiff"
peripheral   /pəˈrɪfərəl/          adj.外围的；次要的；（神经）末梢区域的n.外部设备外围设备 49%，外围的 47%，不重要的 4%词性：形容词 85%, 名词 15%	peripheral  /pəˈrɪfərəl/       adj.外围的；次要的；（神经）末梢区域的n.外部设备外围设备 49%，外围的 47%，不重要的 4%词性：形容词 85%, 名词 15%           A computer comes with many peripheral devices such as printers.电脑有许多外围设备，比如说打印机。      →记1: peripheral→peri(=around 周围)+pher(=tocarry 携带)+al→外围的 →参考: periphery(n. 外围；无关紧要的部分) 来自 periphery, 外围, 边缘. 引申词义外围的, 不重要的.【记】peri周围 【类】immaterial:relevance＝peripheral:center无关紧要的不是相关＝外围的不是中心 【反】crux（n.症结；关键）－peripheral element（不重要因素）；crucial（adj.至关紧要的）      adjectiveuk/pəˈrɪf.ər.əl/ us/pəˈrɪf.ɚ.əl/   Something that is peripheral is not as important as something else.次要的，附带的 The book contains a great deal of peripheral detail.该书包含了大量无关紧要的细节。 happening at the edge of something外围的，边缘的 A figure came into my peripheral vision.一个身影从远处映入我眼帘。  noun [ C ]uk/pəˈrɪf.ər.əl/ us/pəˈrɪf.ɚ.əl/ specialized  a piece of equipment, such as a printer, that can be connected to a computer（计算机的）外围设备（如打印机）       Scanners, printers, and speakers are peripheral devices for a computer because they aren't central to the working of the computer itself. Anything peripheral is on the margin, or outside, while main things, like a computer's processor, are not peripheral.Outside of computer jargon, peripheral is a common term in eye exams, which measure peripheral vision to see how far toward the outer right and left edges you can see. Peripheral also describes nerves from the body's peripheral system, which are secondary to the main system but branch off of it — like the wires between peripheral devices and a computer.peripheral: peripherally, peripherals/periphery: peripheral, peripheries    peripheral
micromanage   /ˈmaɪkroʊmænɪdʒ/          微观管理微管理 100%	micromanage  /ˈmaɪkroʊmænɪdʒ/       微观管理微管理 100%                 micro-, 微小的, manage, 管理. 比喻用法.      verb [ T ]uk/ˈmaɪ.krəʊˌmæn.ɪdʒ/ us/ˈmaɪ.kroʊˌmæn.ɪdʒ/ often disapproving  to control every part of a situation, even small details细节管理 The head teacher shouldn't be trying to micromanage what happens in the classroom.校长不应该对课堂上发生的事情采取细节管理的方式。          micromanage
escapee   /ɪˌskeɪˈpiː/          n.逃避者；逃亡者逃亡者 50%，逃犯 50%	escapee  /ɪˌskeɪˈpiː/       n.逃避者；逃亡者逃亡者 50%，逃犯 50%                       noun [ C ]uk/ɪˌskeɪˈpiː/ us/ɪˌskeɪˈpiː/   a person who has escaped from a place逃离者；逃脱者 The escapees were recaptured after three days on the run.这些人在出逃3天后又重新被抓获。          escapee
re-examination   /ˌriː ɪɡˌzæmɪˈneɪʃn/          复查再检查重新审核复试复试 100%	re-examination  /ˌriː ɪɡˌzæmɪˈneɪʃn/       复查再检查重新审核复试复试 100%                                re-examination
disinfect   /ˌdɪsɪnˈfekt/          vt.将…消毒时态:disinfected, disinfecting, disinfects消毒 87%，杀菌 13%	"disinfect  /ˌdɪsɪnˈfekt/       vt.将…消毒时态:disinfected, disinfecting, disinfects消毒 87%，杀菌 13%           For health reasons, I disinfect the toilet regularly with bleach.出于健康原因，我定期用漂白剂对厕所进行消毒。      dis-, 不, 非, 使相反. infect, 感染. 即消除感染, 消毒.【记】infect（v.传染；感染） 【参】disinfectant（n.杀菌剂（用高温、辐射或化学药剂）） 【类】oil:lubricate＝antiseptic:disinfect油可以润滑＝杀菌剂可以消毒aseptic:disinfection＝anesthetic:numbness防腐剂消毒＝麻醉剂使麻木      verb [ T ]uk/ˌdɪs.ɪnˈfekt/ us/ˌdɪs.ɪnˈfekt/   to clean something using chemicals that kill bacteria and other very small living things that cause disease给…杀菌，为…除菌，替…消毒 disinfect the toilets/a wound给厕所／伤口消毒       To disinfect something is to clean it so thoroughly that you kill any bacteria that might have been living on it. It's particularly important to disinfect cuts and scratches.You can disinfect your kitchen counters with cleaning products, or disinfect a scrape by washing it with soap and water. Public swimming pools have chlorine added to their water to disinfect them, and bleach is a good all-purpose chemical used to disinfect floors, laundry, and other things that might be harboring nasty bugs. Infect comes from a Latin root word, inficere, ""to spoil or stain."" Adding the prefix dis-, ""do the opposite of,"" gives you disinfect.disinfect: disinfectant, disinfected, disinfecting, disinfection, disinfects/disinfectant: disinfectants/infect: disinfect, infected, infecting, infection, infective, infects, superinfect/infected: uninfected/infection: infections, infectious, superinfection/infectious: infectiously, noninfectious    disinfect"
yielding   /ˈjiːldɪŋ/          n.屈服；让步；可缩性v.出产（yield的ing形式）；屈从adj.生产的；屈从的；易弯曲的；柔顺的原型:yielding 是 yield 的现在分词柔软的 56%，听从的 22%，生产的 22%	yielding  /ˈjiːldɪŋ/       n.屈服；让步；可缩性v.出产（yield的ing形式）；屈从adj.生产的；屈从的；易弯曲的；柔顺的原型:yielding 是 yield 的现在分词柔软的 56%，听从的 22%，生产的 22%                 →记1: yielding→yield(v. 屈服, 屈从)+ing→柔顺的 yield→field(n. 土地)→屈从于土地的主人 (地主)来自 yield, 屈服, 顺从.【反】dogged（adj.顽固的）      adjectiveuk/ˈjiːl.dɪŋ/ us/ˈjiːl.dɪŋ/ formal yielding adjective SOFT  Soft substances or qualities that are yielding can bend.易弯曲的；柔性的 a yielding mire of wet leaves一层软软的湿树叶 yielding flesh/softness嫩肉／柔软  yielding adjective PERSON  A yielding person can change the way they normally behave or deal with situations when it is helpful or necessary.（人）顺从的，柔顺的          yielding
reintroduction   /ˌriːɪntrəˈdʌkʃn/          n.再介绍；再引入重新引入 55%，重新采用 45%	reintroduction  /ˌriːɪntrəˈdʌkʃn/       n.再介绍；再引入重新引入 55%，重新采用 45%                                reintroduction
