#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
snowmobile   /ˈsnoʊmoʊbiːl/          n.雪上汽车；机动雪橇时态:snowmobiled, snowmobiling, snowmobiles雪地车 100%	snowmobile  /ˈsnoʊmoʊbiːl/       n.雪上汽车；机动雪橇时态:snowmobiled, snowmobiling, snowmobiles雪地车 100%                       noun [ C ]uk/ˈsnəʊ.məˌbiːl/ us/ˈsnoʊ.məˌbiːl/   a small motor vehicle for travelling on snow and ice摩托雪橇          snowmobile
snack   /snæk/          n.小吃，快餐；一份，部分vi.吃快餐，吃点心时态:snacked, snacking, snacks小吃 55%，点心 40%，吃点心 5%词性：名词 90%, 动词 10%	"snack  /snæk/       n.小吃，快餐；一份，部分vi.吃快餐，吃点心时态:snacked, snacking, snacks小吃 55%，点心 40%，吃点心 5%词性：名词 90%, 动词 10%           An apple is a healthy snack.苹果是一种健康的零食。      来自中古荷兰语 snacken, 抓, 抢, 狗咬, 拼写变体自 snappen, 抓, 抢, 词源同 snap. 后引申词义点心, 小吃.n.快餐,小吃,点心The man tackling the drawback of the brackets runs a slack snack business.那个解决支架缺点的人经营着萧条的小吃生意.      noun [ C ]uk/snæk/ us/snæk/  A2 a small amount of food that is eaten between meals, or a very small meal小吃，点心；快餐 I had a huge lunch, so I'll only need a snack for dinner.我午饭吃得很饱，所以晚饭吃些点心就可以了。 Fresh or dried fruit makes an ideal snack.新鲜水果或果脯是理想的小吃。 Many snack foods are high in salt, sugar, and fat.很多快餐都是高盐、高糖、高脂肪。More examplesI don't eat much for lunch - just a light snack.If there's a cafe nearby, we could stop for a snack.I have breakfast at 7.30, lunch at 1.00, and sometimes a snack in between.We were planning on just having a snack and catching the early train.Do you fancy a snack before we go?  verb [ I ]uk/snæk/ us/snæk/   to eat small amounts of food between meals（在正餐之间）吃零食，吃零嘴 I've been snacking all day.我吃了一天的零食。 If you eat three good meals a day, you're less likely to snack on biscuits.如果你一日三餐好好吃，可能就不会把饼干当零嘴了。       A snack is a small serving of food between meals. Enjoy a healthy snack such as apples with peanut butter, or indulge in a bag of chips. After a huge breakfast, you might just want a light snack instead of lunch.You can use snack as a verb too: ""After school, I like to snack on fruit and cookies and listen to music."" Snack originally meant ""snap or bite"" in Middle English, usually in the context of a dog's bite. The noun was also used in the 17th century to mean ""a portion or share,"" which led to the now-obsolete phrase ""go snacks,"" meaning ""share with someone.""snack: snacked, snacker, snacking, snacks/snacker: snackers    snack"
squawk   /skwɔːk/          n.抗议；叫声；诉苦；故障vt.粗声叫出；诉苦vi.抗议；发出响而粗的叫声；大声抱怨时态:squawked, squawking, squawks叫声 52%，喋喋不休地发牢骚 16%，嘈杂的抱怨 16%，呱呱地叫鸣 16%词性：动词 70%, 名词 30%	"squawk  /skwɔːk/       n.抗议；叫声；诉苦；故障vt.粗声叫出；诉苦vi.抗议；发出响而粗的叫声；大声抱怨时态:squawked, squawking, squawks叫声 52%，喋喋不休地发牢骚 16%，嘈杂的抱怨 16%，呱呱地叫鸣 16%词性：动词 70%, 名词 30%                       verb [ I ]uk/skwɔːk/ us/skwɑːk/   to make an unpleasantly loud, sharp cry发出刺耳尖叫 As the fox came into the yard, the chickens began squawking in alarm.狐狸闯进院子时，鸡惊恐地开始咯咯大叫。 informal disapproving to complain about something noisily大声抱怨；高声诉苦 Environmental groups have been squawking about the decision to build the motorway through a forest.环保团体一直在大声疾呼，反对修建穿越森林的高速公路的决定。       To squawk is to make a harsh screech, like the sound that a large bird might make. Your pet parrot might squawk until you give her treats to nibble on.The imitative word squawk first appeared in the 1800s, and around 1945, the term squawk box began to be used informally to mean ""intercom or loudspeaker."" Today, that term is primarily used by investors and brokers to mean ""an intercom used to communicate stock deals."" In addition to being the sound of an irritated bird, a squawk is also a complaint: ""All he does is squawk about how hard his new job is.""squawk: squawked, squawker, squawking, squawks, squawky/squawker: squawkers    squawk"
re-enactment   /ˌriː ɪˈnæktmənt/          n.重新演戏；案件重演再制定 100%	re-enactment  /ˌriː ɪˈnæktmənt/       n.重新演戏；案件重演再制定 100%                       noun [ C ]also reenactment uk/ˌriː.ɪˈnækt.mənt/ us/ˌriː.ɪˈnækt.mənt/   an occasion on which people re-enact an event（对事件的）再现，重现 a re-enactment of the battle of Gettysburg重现葛底斯堡战役          re-enactment
servitude   /ˈsɜːrvɪtuːd/          n.劳役，奴役；地役权；奴隶状态奴役 88%，〈法〉役劝 4%，束缚 4%，徒刑 4%	"servitude  /ˈsɜːrvɪtuːd/       n.劳役，奴役；地役权；奴隶状态奴役 88%，〈法〉役劝 4%，束缚 4%，徒刑 4%           Conquered enemies, which shall it be - death, or servitude?被征服的敌人，应该是哪种情况--死亡，还是奴役？      来自拉丁语 servitudo, 奴隶身份, 奴役, 来自 servus, 奴隶, 奴仆, 词源同 serve. -ude, 表状态.奴役(serv+itude表示状态)[serv=serve,keep表示""服务,保持""]      noun [ U ]uk/ˈsɜː.vɪ.tʃuːd/ us/ˈsɝː.və.tuːd/ formal  the state of being under the control of someone else and of having no freedom苦役；奴役；劳役 In the past, the majority of women were consigned to a lifetime of servitude and poverty.过去，大多数的女性一生含辛茹苦，一贫如洗。       If you're free-spirited you won't enjoy servitude, mainly because servitude means you have to answer to a master, like a servant does.Slavery, a brutal form of servitude, existed in the United States until the ratification of the Thirteenth Amendment in 1865. Before this, thousands upon thousands of African Americans were forced into servitude, where they were forced to perform labor for their masters. A key to remembering the meaning of servitude is the fact that it resembles servant.If your friend rear-ends you but doesn't have insurance, let him pay for the damage in servitude. Make him your personal assistant for a month!servitude: servitudes   servitude"
preponderance   /prɪˈpɑːndərəns/          n.优势；多数；占优势优势 65%，多数 35%	"preponderance  /prɪˈpɑːndərəns/       n.优势；多数；占优势优势 65%，多数 35%           There is a preponderance of black pieces on the chessboard. White loses.黑棋在棋盘上占多数。白色的一方输了。      →记1: preponderance→pre(=before)+ponderance(n. 重量, 重要性)→重要性在别的人前面→优势 ponderance→pond(=weight 重量)+erance→重量 【记】pre前，ponder重量，ance－重量超过别人的优势 【类】preeminence:importance＝preponderance:weight卓越是有重要性＝优势是有分量      noun [ S ]uk/prɪˈpɒn.dər.əns/ us/prɪˈpɑːn.dɚ.əns/ formal  the largest part or greatest amount优势；多数 The preponderance of evidence suggests that he's guilty.大量的证据表明他有罪。       If there's a preponderance of something, there is A LOT of it. If you are a prosecutor, you are looking for a preponderance of evidence to convince the jury that the defendant is guilty.The noun preponderance can also mean ""superiority in weight or significance."" This meaning is particularly reflective of the word's Latin roots in the word praeponderare, which means ""outweigh."" The noun can also mean ""superiority in influence or importance."" A country's economic preponderance, for example, might give it greater influence in international relations.preponderance: preponderances/preponderant: preponderance, preponderantly    preponderance"
pout   /paʊt/          n.撅嘴；生气vt.撅嘴vi.撅嘴时态:pouted, pouting, pouts噘嘴 51%，生气 27%，绷脸 11%，伸出 11%词性：动词 62%, 名词 38%	pout  /paʊt/       n.撅嘴；生气vt.撅嘴vi.撅嘴时态:pouted, pouting, pouts噘嘴 51%，生气 27%，绷脸 11%，伸出 11%词性：动词 62%, 名词 38%           Don't pout--why don't you come play with us?不要撅嘴--为什么不和我们一起玩？      词源不确定, 可能来自 Proto-Germanic*pud, 膨胀, 鼓起, 来自 bu, 膨胀, 词源同 pudding.【记】读：泡她，可惜她是冷美人，不理你，还撅嘴；生气 【类】wince:pain＝smile:pleasure＝pout:displeasure＝sneer:contempt退缩因为疼痛＝微笑因为愉快＝撅嘴因为不悦＝冷笑因为蔑视 【反】grin（v./n.露齿笑）      verb [ I or T ]uk/paʊt/ us/paʊt/   to push the lower lip forward to show you are annoyed, or to push both lips forward in a sexually attractive way（生气或性感地）撅嘴 Vanessa always pouts if she doesn't get what she wants.瓦妮莎得不到自己想要的东西时总是把嘴撅得高高的。 Caroline pouts her lips when she's putting on lipstick.卡罗琳涂口红时总是撅起嘴。       When something doesn’t go your way and you get annoyed about it, that’s a pout. And when you let the world know about it by thrusting out your lower lip, you are pouting. Get over it.When you pout, you’re expressing annoyance or displeasure. It’s a sulky kind of gesture, one that involves a facial expression more than words — in fact, a pout is often accompanied by a moody silence. The verb form of pout describes the action, and the noun form describes the facial expression. Maybe it's not a coincidence that a pout is also a type of fish. Pouting faces are a bit fish-like in their expressions.pout: pouted, pouter, pouting, pouts/pouter: pouters    pout
unkind   /ˌʌnˈkaɪnd/          adj.无情的；不仁慈的，不厚道的无情的 53%，不和善的 34%，不厚道的 13%	unkind  /ˌʌnˈkaɪnd/       adj.无情的；不仁慈的，不厚道的无情的 53%，不和善的 34%，不厚道的 13%           I don't understand why my boss is so unkind to me.我不明白为什么我的老板对我如此不和善。            adjectiveuk/ʌnˈkaɪnd/ us/ʌnˈkaɪnd/  B1 not treating someone very well; not considering someone's feelings刻薄的；不友善的；不客气的 an unkind remark刻薄的话 It was unkind of you to take his toy away.你把他的玩具拿走太不友善了。More examplesan unkind remarkIt was a bit unkind of you to mention her weight.That was an unkind thing to say.She's not intentionally unkind - she's just a little thoughtless sometimes.Don't be so unkind to your sister!          unkind
two-bedroom             adj.双卧室的n.双卧室双卧室 100%	two-bedroom         adj.双卧室的n.双卧室双卧室 100%                                two-bedroom
scowl   /skaʊl/          n.愁容；怒容；阴沉沉的样子vt.皱眉表示；对…沉下脸vi.皱眉；怒视时态:scowled, scowling, scowls皱眉 60%，愁容 40%词性：动词 69%, 名词 31%	"scowl  /skaʊl/       n.愁容；怒容；阴沉沉的样子vt.皱眉表示；对…沉下脸vi.皱眉；怒视时态:scowled, scowling, scowls皱眉 60%，愁容 40%词性：动词 69%, 名词 31%           The scowl on my face means I'm not happy with your performance.我脸上的皱纹意味着我对你的表现不满意。      →记1: scowl→slow(a. 缓慢的)→进展缓慢, 皱眉头 【记】s死，cow母牛，l：母牛被l弄死了－皱眉头 【类】scowl:displeasure＝kiss:affection＝『hurl:disgust』皱眉头表示不高兴＝接吻表示友爱＝『愤慨的说表示厌恶』      verb [ I ]uk/skaʊl/ us/skaʊl/   to look at someone or something with a very annoyed expression阴沉着脸看，怒目而视 The boy scowled at her and reluctantly followed her back into school.男孩对她阴沉着脸，很不情愿地跟着她回了学校。       When you scowl you make an angry face. The angry face you make is also called a scowl. Lighten up.Scowl is an expressive word: it shares ""ow"" with frown, and if you say it like you mean it you might end up scowling yourself. Being scowled at is more unsettling than being frowned at. A scowl is like an angry frown you would give someone if you disapproved of them. A frown expresses sadness, but a scowl expresses disdain.scowl: scowled, scowling, scowls/scowling: scowlingly    scowl"
stinking   /ˈstɪŋkɪŋ/          adj.发恶臭的；非常讨厌的；烂醉如泥的v.散发出恶臭；名声臭（stink的现在分词）原型:stinking 是 stink 的现在分词非常讨厌的 34%，发恶臭的 33%，极其 11%，动词stink的现在分词形式. 11%，愤怒不已的 11%	stinking  /ˈstɪŋkɪŋ/       adj.发恶臭的；非常讨厌的；烂醉如泥的v.散发出恶臭；名声臭（stink的现在分词）原型:stinking 是 stink 的现在分词非常讨厌的 34%，发恶臭的 33%，极其 11%，动词stink的现在分词形式. 11%，愤怒不已的 11%                 stink, 发臭, -ing, 形容词后缀.      adjectiveuk/ˈstɪŋ.kɪŋ/ us/ˈstɪŋ.kɪŋ/ informal stinking adjective SMELL  having a very unpleasant smell发出恶臭的，散发难闻气味的 a pile of stinking rotten food一堆散发着恶臭的腐烂食物  stinking adjective BAD  very unpleasant or bad令人讨厌的；很糟糕的 I hate this stinking job!我恨这讨厌的工作！UK She had a stinking cold and felt very sorry for herself.她得了重感冒，觉得自己很可怜。 Idiom(s)be stinking rich         stinking
collapsing   /kəˈlæpsɪŋ/          v.崩溃；塌陷（collapse的ing形式）；折叠；压扁原型:collapsing 是 collapse 的现在分词	collapsing  /kəˈlæpsɪŋ/       v.崩溃；塌陷（collapse的ing形式）；折叠；压扁原型:collapsing 是 collapse 的现在分词                                collapsing
behest   /bɪˈhest/          n.命令；邀请；请求命令 92%，紧急要求 8%	"behest  /bɪˈhest/       n.命令；邀请；请求命令 92%，紧急要求 8%           The servant left at the queen's behest.仆人在王后的授意下离开了。      前缀 be-, 强调. hest, 命令, 召唤, 词源同 cite, 引用, 传讯.      nounuk/bɪˈhest/ us/bɪˈhest/ formal at sb's behest/at the behest of sb because someone has asked or ordered you to do something按照…的要求；在…的命令下 The budget proposal was adopted at the mayor's behest.在市长的要求下这项预算计划获得采纳。       Behest is an authoritative command or request. If your boss or principal asks to see you, you go to their office at their behest.Behest rhymes with ""request"" and they almost mean the same thing, if you give your request a little authoritative oomph, just a tad bit of ""or else."" Another difference between these words is that you can't use behest as a verb: You can't behest someone. You act according to their behest. The root word here is the Old English hehaes, means ""a vow.""behest: behests   behest"
smudge   /smʌdʒ/          n.污点，污迹；烟熏火堆vt.弄脏，涂污；用浓烟熏vi.被弄脏；形成污迹时态:smudged, smudging, smudges污点 80%，浓烟 12%，渍痕 8%词性：名词 54%, 动词 46%	smudge  /smʌdʒ/       n.污点，污迹；烟熏火堆vt.弄脏，涂污；用浓烟熏vi.被弄脏；形成污迹时态:smudged, smudging, smudges污点 80%，浓烟 12%，渍痕 8%词性：名词 54%, 动词 46%                 →记1: smudge→s+mud+ge→mud(n. 泥土)→泥土造成的污迹 来自动词 smogen, 弄脏, 弄黑, 玷污, 可能来自 sme, 涂抹, 词源同 smear. 拼写受-dge 影响俗化.【记】s死mud泥巴ge哥哥：哥哥死在泥巴里面－弄脏 【类】slur:speech＝smudge:writing含糊的讲话＝模糊的字迹      noun [ C ]uk/smʌdʒ/ us/smʌdʒ/   a mark with no particular shape that is caused, usually by accident, by rubbing something such as ink or a dirty finger across a surface（擦拭后留下的）污迹，污痕 Her hands were covered in dust and she had a black smudge on her nose.她的手上沾满了灰尘，鼻子上也有黑乎乎的一块。figurative She said we were nearly there, but the island was still no more than a distant smudge on the horizon.她说我们快到了，但那个岛依然只是地平线上遥远的一个小黑点。  verb [ I or T ]uk/smʌdʒ/ us/smʌdʒ/   If ink, paint, etc. smudges or if someone smudges it, it becomes dirty or not clear because someone or something has touched it.（墨迹、画作等）被弄脏，被弄模糊；把…弄脏 She was crying and her mascara had smudged.她正在哭，睫毛膏都哭花了。       When you smudge something, you smear or blur it in a messy way. If you smudge your sister's drawing after she worked so hard on it, she'll be furious.You might smudge dirt across your face when you wipe your nose after digging in the garden—and the dirty mark itself can also be called a smudge. Another kind of smudge is a smoky fire that can be used for several purposes: to disguise your location, to keep outdoor plants or trees warm, or to repel insects. The container in which a smudge is built is called a smudge pot.smudge: smudged, smudges, smudging, smudgy/smudgy: smudgily    smudge
garland   /ˈɡɑːrlənd/          n.花环vt.戴花环时态:garlanded, garlanding, garlands花环 92%，戴花环 8%	"garland  /ˈɡɑːrlənd/       n.花环vt.戴花环时态:garlanded, garlanding, garlands花环 92%，戴花环 8%           Girls look more beautiful when they put on garlands.女孩戴上花环时看起来更漂亮。      →记1: garland→garl(花)+and→花环 garl→glare(v. 闪耀)→来自 wer, 转, 弯, 编织, 词源同 wreath, crown.【记】gar花，land（n.陆地）：花铺满地一花环；奖品      noun [ C ]uk/ˈɡɑː.lənd/ us/ˈɡɑːr.lənd/   a circle made of flowers and leaves worn around the neck or head as a decoration花环；花冠 a garland of white roses白玫瑰花环  verb [ T ]uk/ˈɡɑː.lənd/ us/ˈɡɑːr.lənd/ literary  to put garlands on someone or something给…献花环；给…戴上花环 They garlanded the visitors with scented flowers.他们为来访者戴上芬芳的花环。       A garland is a circular arrangement of flowers, worn or hung for decoration. Think of the strings of pine and holly people hang at holiday time, or the ring of roses they put around the Kentucky Derby winner's neck.First recorded circa 1300, the word garland in the simplest terms means a circle of flowers or other greenery. Hawaiian leis are a type of garland, as are holiday wreaths and the little flower crowns that flower girls wear at weddings. If you want to get spiritual about garlands, you can refer back to this Buddha quote: ""Fashion your life as a garland of beautiful deeds.""garland: garlanded, garlanding, garlands   garland"
